doc_id,chapter,actual_section,feature_class,feature_variant,neighbor_doc_id,similarity,rank
Isaiah_1,1,Isaiah_1_35,char,char3,Isaiah_1_35,0.8696541342598467,1
Isaiah_1,1,Isaiah_1_35,char,char4,Isaiah_1_35,0.7104342473807631,1
Isaiah_1,1,Isaiah_1_35,char,char5,Isaiah_1_35,0.5359073957377656,1
Isaiah_1,1,Isaiah_1_35,function_words,auxiliaries_freq,Psalms,0.9457463850577349,1
Isaiah_1,1,Isaiah_1_35,function_words,auxiliaries_tfidf,Psalms,0.889737455797954,1
Isaiah_1,1,Isaiah_1_35,function_words,basic_freq,Isaiah_1_35,0.9784468861863252,1
Isaiah_1,1,Isaiah_1_35,function_words,basic_tfidf,Isaiah_1_35,0.9694250569537899,1
Isaiah_1,1,Isaiah_1_35,function_words,conjunctions_freq,1 Samuel,0.9950556310514705,1
Isaiah_1,1,Isaiah_1_35,function_words,conjunctions_tfidf,Job,0.983010198886746,1
Isaiah_1,1,Isaiah_1_35,function_words,kjv_freq,Jeremiah,0.9734425414788803,1
Isaiah_1,1,Isaiah_1_35,function_words,kjv_tfidf,Amos,0.9520553256528755,1
Isaiah_1,1,Isaiah_1_35,function_words,prepositions_freq,Isaiah_1_35,0.9647527025172726,1
Isaiah_1,1,Isaiah_1_35,function_words,prepositions_tfidf,Isaiah_1_35,0.9555143601642386,1
Isaiah_1,1,Isaiah_1_35,function_words,pronouns_freq,Amos,0.7930413222740453,1
Isaiah_1,1,Isaiah_1_35,function_words,pronouns_tfidf,Amos,0.8105064231378964,1
Isaiah_1,1,Isaiah_1_35,lexical,lexical_richness,Isaiah_36_39,0.7913808036077782,1
Isaiah_1,1,Isaiah_1_35,pos,pos3,Isaiah_1_35,0.8095042433969425,1
Isaiah_1,1,Isaiah_1_35,pos,pos4,Isaiah_1_35,0.5588082236960215,1
Isaiah_1,1,Isaiah_1_35,pos,pos5,Isaiah_1_35,0.38114632254361724,1
Isaiah_1,1,Isaiah_1_35,punctuation,punctuation_freq,Isaiah_1_35,0.9996623029589561,1
Isaiah_1,1,Isaiah_1_35,readability,readability,Isaiah_36_39,0.999926454988732,1
Isaiah_1,1,Isaiah_1_35,sentence,sentence_freq,Hosea,0.9753540977430853,1
Isaiah_1,1,Isaiah_1_35,sentence,sentence_tfidf,Hosea,0.9712084684678369,1
Isaiah_1,1,Isaiah_1_35,stem,stem1,Isaiah_1_35,0.771448069463729,1
Isaiah_1,1,Isaiah_1_35,stem,stem2,Isaiah_1_35,0.3034767810331296,1
Isaiah_1,1,Isaiah_1_35,stem,stem3,Isaiah_1_35,0.21567924092504817,1
Isaiah_1,1,Isaiah_1_35,word,word1,Isaiah_1_35,0.7558431340582024,1
Isaiah_1,1,Isaiah_1_35,word,word2,Isaiah_1_35,0.30160398452826875,1
Isaiah_1,1,Isaiah_1_35,word,word3,Isaiah_1_35,0.21491061589426835,1
Isaiah_1,1,Isaiah_1_35,word_length,word_length,Psalms,0.9998387655254183,1
Isaiah_2,2,Isaiah_1_35,char,char3,Isaiah_1_35,0.8979536148090786,1
